symbol,price_mean,volume_mean,market_mean,range_mean,vol_ratio_mean
ESN,0.13574511111111112,9905.744444444445,2176831.3777777776,0.0234078,0.0016429738471560426
ESP,0.0001970668181818182,24102.270425776755,4158699.8573072497,7.291994706559264e-05,0.0026348594603341703
ESS,0.009096551020408164,254314.2857142857,0.0,0.001587857142857143,0.0
EST,0.005853692307692308,119257.91452991453,0.0,0.000885982905982906,0.0
ESZ,0.18337945172413794,10274.927586206897,773222.3724137931,0.035991068965517244,0.00663340099565122
ETA,0.0015251509433962264,10462.075471698114,8928029.641509434,0.0008012830188679245,0.009260159361595462
ETBS,1.5075290637898688,2866.823639774859,1857250.3508442778,0.828646851782364,0.004937758163856838
ETC,6.084539331384016,51464698.8460039,591677710.1345029,0.3990579044834308,0.06515315250242597
ETG,0.043695619753086425,33195.56296296296,511748.212345679,0.0168001012345679,0.044061832208144344
ETH,7.636934201401051,13127153.586690018,632745193.1611209,0.5715798423817863,0.019128534571321458
ETHD,0.22592560183066362,119425.78032036613,328258.41876430204,0.0843170938215103,0.10479535860117674
ETHM,0.010858357142857144,7239.714285714285,0.0,0.00806825,0.0
ETHO,0.024112204545454544,8502.84090909091,5892.295454545455,0.0064315681818181815,0.0005477106082287733
ETHOS,1.788731842,4019138.796,135393734.078,0.300684142,0.0398603473744421
ETI,0.003895818181818182,37307.09090909091,0.0,0.001063,0.0
ETK,0.0030805384615384614,47595.3717948718,3873173.121794872,0.00046828846153846156,0.011368423858325209
ETN,0.037954226463104326,2486347.201017812,199205445.58778626,0.007387218829516539,0.008507357945430739
ETP,2.3992642817679557,5151088.580110497,77621143.38674033,0.37166416206261516,0.07041956216361145
ETT,0.08879960975609758,6948.986866791744,5061005.857410882,0.04928409943714822,0.0031561826039693346
ETZ,0.2105169775280899,1117061.904494382,0.0,0.029179353932584272,0.0
EUC,0.005187503454231433,571.5,62884.23316062176,0.0017361070811744387,0.01770691021146287
EUNO,0.0315675462184874,2403.81512605042,271690.7226890756,0.010590403361344538,0.008617474554581846
EURS,1.1508130081300811,234348.76422764227,11773656.869918698,0.03276422764227639,0.01604312588813402
EVC,0.1248243306010929,6050.6775956284155,2435283.3661202188,0.05014687978142076,0.002461207571575344
EVE,0.08791772258064516,166119.55161290322,5439347.474193549,0.01989989677419355,0.06938916586838821
EVI,2.1726027397260274e-05,2456.3835616438355,325000.8493150685,5.191780821917808e-06,0.0062931334038002495
EVIL,0.005586157073170732,527.9346341463414,116909.05951219512,0.0017823121951219512,0.018871077815027826
EVN,0.22868155902777776,80878.94097222222,19108623.197916668,0.04730503125,0.0018092706164557265
EVR,0.5842108058968059,174004.41031941032,6777640.481572482,0.16960132186732185,0.017540521692324222
EVX,1.2964846634615386,2319907.1346153845,21421016.230769232,0.2139125360576923,0.09015515582655807
EXC,0.2304438870967742,220747.7688172043,12960281.064516129,0.03532691935483871,0.025830211568692335
EXCL,0.3428294398422091,124647.18737672584,1519745.7468770547,0.07029039513477975,0.03587381681146782
EXMR,0.02976990909090909,24534.413223140495,313102.8347107438,0.01053595041322314,0.058176115640087366
EXP,1.1406802081911263,390169.60580204776,8396761.46672355,0.1948004590443686,0.05209599520581636
EXRN,4.557929648241206e-05,128364.90201005025,3158380.5050251256,1.1945276381909548e-05,0.3384990170547698
EXT,0.0006352268907563026,252367.46218487396,0.0,7.840336134453782e-05,0.0
EXY,0.13967098555956678,164786.07581227436,3051599.086642599,0.02140032129963899,0.02237613393010769
EZT,0.31533806691449817,225747.375464684,3304292.4312267657,0.06942433457249071,0.037171528779988514
EZW,8.447368421052632e-06,7049.894736842105,83520.6052631579,4.368421052631579e-06,0.03987971328111859
F1C,0.004864615384615385,3094.3653846153848,0.0,0.002283884615384615,0.0
FACE,0.007683231182795699,55857.49462365591,3177506.6827956988,0.001008005376344086,0.013849991290428777
FAIR,0.17087100302114805,20961.20060422961,9080533.161933534,0.03195389546827795,0.0037977809341881363
FANS,0.26218881818181816,7179.7833655706,1194392.1914893617,0.07689276015473888,0.00575825405233569
FBN,1.9162790697674416e-05,25349.60465116279,272827.6976744186,3.976744186046512e-06,0.07289892866615114
FCT,10.713348073848827,2799269.575152042,93710482.16681147,1.586911444830582,0.030380553981771967
FDX,0.11603573111782477,44454.85498489426,3243644.809667674,0.05426118731117825,0.004820985873382616
FDZ,0.011742895833333333,515114.75,3609361.75,0.0018450458333333333,0.20649899607162425
FGC,0.08834866871165645,12320.0,670992.4846625767,0.021680588957055213,0.009096143597910463
FID,0.05649947085201794,79875.9730941704,1894559.0852017938,0.00908217937219731,0.007186383347237028
FIL,10.638636363636364,685454.4403409091,0.0,1.4832954545454546,0.0
FJC,0.00036844584980237155,4037.2189723320157,448218.72411067196,0.00011614387351778656,0.007651326530311833
FKX,0.0056272717391304345,35501.80434782609,575370.5760869565,0.0008066086956521739,0.049917990592073296
FLASH,0.0156927969348659,50026.36398467433,12574540.136015326,0.0047349022988505745,0.0012006458503593137
FLAX,0.00783990063810392,515.6773017319964,43471.02096627165,0.0026721075660893347,0.00425559306025803
FLDC,0.006095379581151832,178406.55039267015,3349724.442408377,0.0011051897905759163,0.02839512959789971
FLIK,0.04067627951807228,68142.2,2127716.5927710845,0.013045872289156627,0.0037214293471841504
FLIXX,0.10410039024390244,280080.783197832,7799460.130081301,0.025431978319783197,0.042528202054670824
FLM,0.007005076086956522,676.4782608695652,48569.30434782609,0.0024075217391304345,0.006416251769778958
FLO,0.027734078184800438,102750.17933296884,3782701.3482777476,0.005280621104428649,0.013197035071187267
FLOT,0.043339,67587.73255813954,880930.7441860465,0.013494837209302328,0.08421715992270119
FLP,0.038550643312101916,378328.03184713377,2040487.1337579617,0.004389961783439491,0.1938074574314597
FLT,0.001009047619047619,5841.969642857143,337322.67797619046,0.0002656708333333333,0.01101975556547619
FLUZ,0.030360463601532568,11697.659003831417,3829398.5938697318,0.008988298850574714,0.001585589075437718
FMF,0.005477766233766234,156197.58441558442,1987245.3636363635,0.0006032597402597402,0.03449189877194661
FND,0.0455310621761658,15331.37823834197,1485168.383419689,0.009191502590673575,0.016283038566264188
FNKOS,0.045066854838709675,38789.76612903226,4312489.7822580645,0.00801024193548387,0.0023950258234090175
FNTB,0.032539252336448596,406.5514018691589,87862.93457943926,0.004597392523364487,0.004161002579128978
FOIN,699.449358974359,218049.9358974359,0.0,94.37987179487179,0.0
FOOD,0.004750666666666666,696.5925925925926,1790893.101851852,0.0010520185185185185,0.0003789161306943004
FOR,0.018439510204081633,9558.145408163266,2023387.5637755103,0.009983354591836734,0.0018791824293838376
FORK,0.4803283539823009,78220.76991150442,2082452.5840707964,0.11666651327433628,0.040863677006891266
FOTA,0.041768714285714284,860355.6590909091,11553240.503246753,0.007202857142857143,0.047764330763315994
FOX,0.5837157678571429,40978.375,165921.5357142857,0.3253058392857143,0.10314336255822075
FOXT,0.0766166484375,327750.5390625,497623.453125,0.021071015625,0.7585917339658591
FRC,0.009223573575129535,1366.2321243523315,307205.72953367874,0.002756781865284974,0.016534844475923426
FREC,0.006980916256157635,827761.6896551724,435461.9458128079,0.0006795665024630542,0.22921667188542794
FREE,2.429767857142857e-06,9168.910714285714,6263085.5,1.726482142857143e-06,0.0026238280901219866
FRGC,5.89129111942446,680588.5510791367,0.0,0.4362660676258993,0.0
FRN,0.02841241439688716,1192.6974708171206,45999.42607003891,0.010648869649805447,0.007399253479823352
FRST,3.68611717673716,312812.76435045316,2307902.7371601206,0.42093077039274923,0.023904947239187735
FSBT,0.24956396621621624,431564.8581081081,804546.8648648649,0.020952000000000002,0.6327364798015678
FSN,2.8079711219512196,3217209.714285714,76332516.36933798,0.3508486864111498,0.04643113668091195
FST,0.003387172174840085,4177.503731343284,380563.3395522388,0.0010811098081023455,0.007096283493234344
